Date,AQI,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
7/2/2020,472,22.96646905,71.11352391,2.377472292,14.14338477,19.41496372,28.08105722,0.33838122,6.168099647,31.6101496,0.943850273,13.38388359,1.185714701
7/3/2020,454,20.51321979,66.98705719,-0.63010116,12.67091671,17.71657676,27.60624507,0.228671482,6.077770542,30.84032401,0.776125515,12.75050391,1.249090669
7/4/2020,143,17.5386239,55.73620752,-0.806953787,11.51963083,16.60006168,28.02196335,0.237177987,5.607684224,28.15770713,0.691003978,12.24347773,1.053488615
7/5/2020,319,15.61945418,50.57433324,-2.339342361,9.391021415,14.84737616,27.96606991,0.328610856,5.729701665,28.64004276,0.46831159,11.01494592,1.01286275
7/6/2020,325,13.51450503,50.24329216,0.564865957,11.76770593,19.41353699,28.42169749,0.282010634,6.042426884,28.34376115,0.49713471,11.62280477,0.969577326
7/7/2020,318,13.91110991,53.56836166,0.30327442,13.18134526,20.7247041,28.54208998,0.280310298,5.659500911,28.02711208,0.72388693,13.31233263,1.028704003
7/8/2020,353,14.71848529,55.49677494,0.512850031,13.59075442,21.22000718,28.82178085,0.307120826,6.0108252,27.91873291,0.764010747,13.45592731,0.946075834
7/9/2020,383,16.33027316,57.13276495,1.529478122,12.80415134,22.31760474,28.5626697,0.397974956,5.765454688,27.9535971,0.91245572,14.19842675,0.995755753
7/10/2020,375,14.47256609,53.79673072,-1.598150884,11.53423059,20.35869769,28.15142206,0.289552884,5.608842333,27.23884366,0.754881738,13.50174406,1.019531134
7/11/2020,376,12.04490459,43.23423102,-1.882903497,10.54664624,18.97454652,28.58655048,0.297712013,5.080637235,24.62645753,0.676604984,12.91527994,0.787826733
7/12/2020,379,10.61194598,38.65574437,-3.50323133,8.543728617,16.96149238,28.50532464,0.387162696,5.154767229,25.19967541,0.457432034,11.59353903,0.715429669
7/13/2020,375,8.923158487,38.80373087,-0.659877869,11.00995185,21.28819666,28.89160558,0.336977113,5.431519309,25.02002138,0.486514352,12.09704552,0.645450287
7/14/2020,366,9.659595639,42.50739837,-0.94905792,12.47974905,22.39325507,28.90064923,0.330152943,5.025790884,24.85021065,0.710411816,13.67389741,0.683598298
7/15/2020,353,10.72739141,44.72099824,-0.728793997,12.91549549,22.72659285,29.03021379,0.35039975,5.368283001,24.92250419,0.744789128,13.6994282,0.586218224
7/16/2020,340,12.52034416,46.55855144,0.340446734,12.12961146,23.71514452,28.58652942,0.433382632,5.128376621,25.17446696,0.884886875,14.32145034,0.627742625
7/17/2020,356,10.76787274,43.35263046,-2.690507601,10.8394768,21.7065528,27.96155889,0.315946818,4.991374218,24.71463739,0.716716131,13.5048139,0.650175133
